# 3D Systems, Inc.
# New Model
-0.1395308 0.1885438 0.8742197
-0.1395589 0.1891408 0.8743310
-0.1395902 0.1897414 0.8744369
-0.1396346 0.1903419 0.8745474
-0.1396818 0.1909438 0.8746570
-0.1397323 0.1915506 0.8747681
-0.1399811 0.1791068 0.8724426
-0.1400009 0.1796758 0.8724731
-0.1400235 0.1802474 0.8725251
-0.1396269 0.1869208 0.8738451
-0.1398156 0.1761405 0.8727478
-0.1398275 0.1765753 0.8726465
-0.1398914 0.1769143 0.8725926
-0.1399243 0.1772819 0.8725248
-0.1399206 0.1777239 0.8724817
-0.1399342 0.1782183 0.8724482
-0.1396331 0.1846795 0.8733641
-0.1396766 0.1852758 0.8734859
-0.1397221 0.1858793 0.8735982
-0.1389488 0.1919106 0.8751357
-0.1395176 0.1742373 0.8734872
-0.1395421 0.1812411 0.8727670
-0.1395671 0.1818310 0.8728441
-0.1395981 0.1824194 0.8729259
-0.1396353 0.1830149 0.8730259
-0.1396824 0.1836188 0.8731394
-0.1389336 0.1879152 0.8742810
-0.1389684 0.1885129 0.8743969
-0.1390044 0.1891074 0.8745103
-0.1390437 0.1897050 0.8746159
-0.1390923 0.1903038 0.8747298
-0.1391430 0.1909059 0.8748419
-0.1394941 0.1790711 0.8725360
-0.1395186 0.1796296 0.8725719
-0.1395458 0.1802003 0.8726289
-0.1389780 0.1856755 0.8737904
-0.1390157 0.1862745 0.8738968
-0.1390568 0.1868752 0.8740108
-0.1394029 0.1761383 0.8727959
-0.1394079 0.1765617 0.8727050
-0.1394711 0.1768876 0.8726397
-0.1394964 0.1772573 0.8725887
-0.1394833 0.1776961 0.8725518
-0.1394898 0.1781923 0.8725196
-0.1390766 0.1846300 0.8735212
-0.1384178 0.1918737 0.8753193
-0.1390264 0.1742781 0.8735363
-0.1389704 0.1806149 0.8728070
-0.1390031 0.1811992 0.8728831
-0.1390354 0.1817857 0.8729610
-0.1390782 0.1823699 0.8730586
-0.1391255 0.1829646 0.8731648
-0.1391751 0.1835713 0.8732752
-0.1383597 0.1878653 0.8744636
-0.1384040 0.1884633 0.8745766
-0.1384493 0.1890605 0.8746887
-0.1384967 0.1896598 0.8747952
-0.1385485 0.1902608 0.8749108
-0.1386013 0.1908653 0.8750244
-0.1390037 0.1784885 0.8726058
-0.1390329 0.1790289 0.8726201
-0.1390619 0.1795847 0.8726573
-0.1384082 0.1856262 0.8739550
-0.1384518 0.1862268 0.8740655
-0.1384970 0.1868272 0.8741794
-0.1390043 0.1765474 0.8727836
-0.1390662 0.1768694 0.8727081
-0.1390938 0.1772266 0.8726581
-0.1390839 0.1776688 0.8726335
-0.1385283 0.1845814 0.8736687
-0.1377985 0.1906362 0.8752630
-0.1378415 0.1912345 0.8753811
-0.1378875 0.1918358 0.8754989
-0.1385698 0.1743299 0.8735843
-0.1384647 0.1805668 0.8729242
-0.1384959 0.1811480 0.8729925
-0.1385327 0.1817332 0.8730729
-0.1385762 0.1823197 0.8731668
-0.1386244 0.1829208 0.8732713
-0.1386752 0.1835291 0.8734173
-0.1378051 0.1878155 0.8746368
-0.1378518 0.1884147 0.8747484
-0.1378996 0.1890134 0.8748624
-0.1379483 0.1896142 0.8749732
-0.1385733 0.1784654 0.8726890
-0.1385953 0.1789951 0.8727016
-0.1386192 0.1795513 0.8727420
-0.1377969 0.1849822 0.8740044
-0.1378459 0.1855804 0.8741199
-0.1378918 0.1861819 0.8742340
-0.1379382 0.1867810 0.8743498
-0.1386415 0.1765710 0.8728324
